#	NAME	P0	P1	DIST	ZZ	XX	YY	AGE	BSURF	EDOT
		(s)	(unit)	(kpc)	(kpc)	(kpc)	(kpc)	(Yr)	(G)	(ergs/s)
1402	B1939+17	0.696262215	1.01E-16	4.915	-0.23	3.993	5.644	1.09E+08	2.68E+11	1.20E+31
1403	B0153+39	1.811560611	1.52E-16	4.916	-1.788	3.16	11.814	1.89E+08	5.30E+11	1.00E+30
1404	J1759-1736	0.798451567	2.55E-16	4.917	0.26	0.969	3.686	4.96E+07	4.57E+11	2.00E+31
1405	B1811+40	0.931089085	2.55E-15	4.917	2.003	4.146	6.775	5.79E+06	1.56E+12	1.20E+32
1406	J1845+0623	1.421653784	5.46E-16	4.918	0.369	3.014	4.631	4.13E+07	8.91E+11	7.50E+30
1407	J1811-1835	0.557463612	6.32E-15	4.933	0.004	1.018	3.673	1.40E+06	1.90E+12	1.40E+33
1408	J2139+2242	1.083513514	1.42E-15	4.933	-1.842	4.426	7.338	1.21E+07	1.26E+12	4.40E+31
1409	J1501-5637	0.782948566	1.70E-16	4.938	0.156	-3.161	4.709	7.30E+07	3.69E+11	1.40E+31
1410	J1654-2713	0.791822442	1.68E-16	4.942	0.881	-0.426	3.656	7.49E+07	3.69E+11	1.30E+31
1411	J1905+0616	0.989706023	1.35E-13	4.952	-0.015	3.188	4.71	1.16E+05	1.17E+13	5.50E+33
1412	J1649-4653	0.557036197	4.96E-14	4.964	-0.12	-1.777	3.866	1.78E+05	5.32E+12	1.10E+34
1413	B1915+22	0.425897254	2.86E-15	4.965	0.394	4.093	5.717	2.36E+06	1.12E+12	1.50E+33
1414	J1942-2019	0.275132724	1.23E-17	4.965	-1.708	1.576	4.112	3.53E+08	5.90E+10	2.30E+31
1415	J1906+0649	1.28656438	1.52E-16	4.966	-0.013	3.238	4.735	1.34E+08	4.48E+11	2.80E+30
1416	J1841-0500	0.912915802	3.48E-14	4.969	-0.003	2.281	4.085	4.16E+05	5.70E+12	1.80E+33
1417	J1735-3258	0.350971731	2.60E-14	4.974	-0.033	-0.392	3.542	2.14E+05	3.06E+12	2.40E+34
1418	J1626-4537	0.370141128	8.28E-15	4.977	0.206	-1.915	3.911	7.08E+05	1.77E+12	6.40E+33
1419	B1903+07	0.648040054	4.94E-15	4.98	0.006	3.263	4.738	2.08E+06	1.81E+12	7.20E+32
1420	J1805-2037	0.357806775	1.76E-15	4.983	0.027	0.818	3.585	3.23E+06	8.02E+11	1.50E+33
1421	B1352-51	0.644304508	2.81E-15	4.984	0.841	-3.596	5.153	3.63E+06	1.36E+12	4.20E+32
1422	J1659-4316	0.474381435	1.71E-16	4.986	-0.048	-1.458	3.732	4.40E+07	2.88E+11	6.30E+31
1423	J1813+1822	0.336424676	2.10E-17	4.989	1.409	3.416	5.148	2.54E+08	8.51E+10	2.20E+31
1424	J1907+0859	1.527042271	5.54E-15	4.989	0.058	3.384	4.834	4.36E+06	2.94E+12	6.10E+31
1425	J1840-0643	0.035577873	9.54E-20	4.99	-0.049	2.161	4.002	5.91E+09	1.86E+09	8.40E+31
1426	J1907+0731	0.36367633	1.84E-14	4.994	-0.018	3.309	4.76	3.13E+05	2.62E+12	1.50E+34
1427	B1923+04	1.074080076	2.46E-15	4.995	-0.494	3.26	4.748	6.91E+06	1.65E+12	7.80E+31
1428	B1626-47	0.575971412	2.23E-14	4.996	0.049	-2	3.922	4.09E+05	3.63E+12	4.60E+33
1429	J1818-1448	0.2813713	6.15E-15	4.997	0.034	1.38	3.697	7.25E+05	1.33E+12	1.10E+34
1430	J1124-5916	0.135476854	7.53E-13	5	0.153	-4.633	6.625	2.85E+03	1.02E+13	1.20E+37
1431	B1356-60	0.127508466	6.33E-15	5	0.098	-3.759	5.205	3.19E+05	9.09E+11	1.20E+35
1432	J1811-1925	0.064667	4.40E-14	5	-0.03	0.97	3.595	2.33E+04	1.71E+12	6.40E+36
1433	B1929+20	0.268217403	4.22E-15	5	0.056	4.124	5.674	1.01E+06	1.08E+12	8.60E+33
1434	B2053+36	0.221507638	3.69E-16	5	-0.487	4.887	7.562	9.51E+06	2.89E+11	1.30E+33
1435	J1743-4212	0.306166988	7.83E-16	5.011	-0.564	-1.003	3.623	6.19E+06	4.96E+11	1.10E+33
1436	J1845-0826	0.634354347	9.35E-15	5.011	-0.213	2.091	3.951	1.07E+06	2.46E+12	1.40E+33
1437	J1717-3847	1.149498918	8.20E-16	5.012	-0.043	-0.995	3.588	2.22E+07	9.82E+11	2.10E+31
1438	J1715-3700	0.779628114	1.50E-16	5.013	0.077	-0.891	3.567	8.47E+07	3.41E+11	1.20E+31
1439	J1854-0524	0.54402081	1.20E-15	5.014	-0.283	2.39	4.101	7.18E+06	8.18E+11	2.90E+32
1440	J1556-5358	0.994680687	1.04E-14	5.02	-0.038	-2.651	4.238	1.51E+06	3.26E+12	4.20E+32
1441	B1824-10	0.245757118	1.00E-15	5.034	0.07	1.827	3.81	3.88E+06	5.02E+11	2.70E+33
1442	J1622-4347	0.457681471	5.05E-15	5.039	0.369	-1.873	3.836	1.44E+06	1.54E+12	2.10E+33
1443	J1842+0257	3.088255793	2.96E-14	5.04	0.293	2.854	4.356	1.65E+06	9.67E+12	4.00E+31
1444	B1832-06	0.305830098	4.05E-14	5.041	0.049	2.138	3.935	1.20E+05	3.56E+12	5.60E+34
1445	J1835-0924	0.859192035	2.14E-14	5.043	-0.071	1.951	3.85	6.36E+05	4.34E+12	1.30E+33
1446	J1627-5547	0.352464213	7.38E-16	5.046	-0.418	-2.509	4.142	7.57E+06	5.16E+11	6.70E+32
1447	J1519-6106	2.154307061	8.37E-15	5.047	-0.283	-3.247	4.647	4.08E+06	4.30E+12	3.30E+31
1448	J1702-4306	0.215508473	9.78E-15	5.047	-0.072	-1.441	3.664	3.49E+05	1.47E+12	3.90E+34
1449	J1755-25211	1.004512553	3.12E-14	5.055	-0.001	0.369	3.458	5.10E+05	5.67E+12	1.20E+33
1450	J1924+1639	0.158042918	2.56E-15	5.059	0.05	3.955	5.345	9.77E+05	6.44E+11	2.60E+34
1451	J1925+1720	0.075658988	1.05E-14	5.06	0.052	3.997	5.397	1.15E+05	9.01E+11	9.50E+35
1452	J1651-4519	0.517443204	8.19E-15	5.061	-0.063	-1.689	3.729	1.00E+06	2.08E+12	2.30E+33
1453	J1835-09242	0.235248925	1.18E-17	5.062	-0.066	1.956	3.832	3.15E+08	5.34E+10	3.60E+31
1454	J1845-0316	0.20763572	8.86E-15	5.063	-0.023	2.485	4.089	3.71E+05	1.37E+12	3.90E+34
1455	J1913+0657	1.257181104	2.83E-15	5.069	-0.151	3.367	4.714	7.04E+06	1.91E+12	5.60E+31
1456	J1525-5605	0.280348662	1.16E-16	5.078	0.05	-3.036	4.43	3.83E+07	1.82E+11	2.10E+32
1457	J1416-6037	0.295580482	4.28E-15	5.083	0.047	-3.706	5.022	1.09E+06	1.14E+12	6.50E+33
1458	J1921+0137	0.002496372	1.94E-20	5.085	-0.526	3.102	4.505	2.04E+09	2.22E+08	4.90E+34
1459	J1605-5215	1.013608747	4.75E-15	5.087	0.003	-2.528	4.086	3.38E+06	2.22E+12	1.80E+32
1460	J0838-3947	1.703945706	8.10E-16	5.095	0.083	-5.011	9.419	3.32E+07	1.19E+12	6.50E+30
1461	J1840-0840	5.309376685	2.37E-14	5.095	-0.144	2.072	3.848	3.55E+06	1.13E+13	6.20E+30
1462	J1652-4406	7.707183007	9.50E-15	5.108	-0.008	-1.615	3.654	1.29E+07	8.66E+12	8.20E+29
1463	J1756-2619	0.724513749	1.24E-15	5.112	-0.08	0.319	3.399	9.27E+06	9.58E+11	1.30E+32
1464	J1512-5431	2.040531574	1.92E-15	5.115	0.261	-3.111	4.448	1.68E+07	2.00E+12	8.90E+30
1465	J1607-5140	0.342722792	2.54E-15	5.118	0.019	-2.49	4.029	2.14E+06	9.44E+11	2.50E+33
1466	J1814-1744	3.975905188	7.45E-13	5.118	-0.019	1.153	3.514	8.46E+04	5.51E+13	4.70E+32
1467	J1249-6507	0.434444873	1.21E-17	5.123	-0.201	-4.304	5.729	5.69E+08	7.34E+10	5.80E+30
1468	J1855-1436	0.003594092	1.09E-20	5.126	-0.675	1.768	3.736	5.22E+09	2.00E+08	9.30E+33
1469	J1511-5835	0.30151055	3.44E-16	5.146	-0.046	-3.288	4.541	1.39E+07	3.26E+11	5.00E+32
1470	B1610-50	0.231693836	4.95E-13	5.148	0.015	-2.4	3.946	7.42E+03	1.08E+13	1.60E+36
1471	J1747-2802	2.780079198	2.37E-15	5.148	0.011	0.087	3.353	1.86E+07	2.59E+12	4.30E+30
1472	J1858+0241	4.693232933	2.43E-14	5.15	-0.039	3.04	4.343	3.06E+06	1.08E+13	9.30E+30
1473	J1947+0915	1.480743824	4.78E-16	5.154	-0.724	3.775	5.067	4.91E+07	8.51E+11	5.80E+30
1474	J1354-6249	2.951938334	1.48E-14	5.159	-0.075	-3.948	5.179	3.16E+06	6.69E+12	2.30E+31
1475	J1541-5535	0.295837553	7.50E-14	5.161	-0.03	-2.929	4.251	6.25E+04	4.77E+12	1.10E+35
1476	J1751-2516	0.394835784	2.65E-15	5.18	0.063	0.348	3.332	2.37E+06	1.03E+12	1.70E+33
1477	J1811-1717	0.391385101	1.20E-16	5.184	0.062	1.17	3.45	5.17E+07	2.19E+11	7.90E+31
1478	J1502-6128	0.84210384	1.35E-15	5.189	-0.225	-3.474	4.652	9.90E+06	1.08E+12	8.90E+31
1479	J1820-1529	0.333253734	3.79E-14	5.195	-0.037	1.404	3.498	1.39E+05	3.60E+12	4.00E+34
1480	J1715-3859	0.928107508	4.40E-15	5.196	-0.032	-1.063	3.414	3.34E+06	2.04E+12	2.20E+32
1481	J1326-4728A	0.004108786	2.70E-20	5.2	1.341	-3.9	5.333	2.41E+09	3.37E+08	1.50E+34
1482	J1326-4728B	0.004791869	2.80E-20	5.2	1.342	-3.898	5.331	2.76E+09	3.68E+08	9.90E+33
1483	B1648-42	0.844080632	4.75E-15	5.2	0.084	-1.567	3.542	2.82E+06	2.03E+12	3.10E+32
1484	B1829-08	0.647325599	6.39E-14	5.2	0.027	2.054	3.723	1.61E+05	6.51E+12	9.30E+33
1485	J1814-1649	0.957463935	6.33E-15	5.205	0.022	1.243	3.446	2.40E+06	2.49E+12	2.80E+32
1486	J1851-0114	0.953181685	2.48E-15	5.214	-0.048	2.748	4.069	6.08E+06	1.56E+12	1.10E+32
1487	J1703-4442	1.747293489	1.43E-14	5.224	-0.175	-1.593	3.528	1.94E+06	5.06E+12	1.10E+32
1488	J1809-2004	0.434811386	7.28E-15	5.228	-0.018	0.94	3.357	9.46E+05	1.80E+12	3.50E+33
1489	J1812-3039	0.587476776	6.60E-16	5.229	-0.543	0.13	3.301	1.41E+07	6.30E+11	1.30E+32
1490	J1837-0822	1.099195959	1.21E-16	5.239	-0.071	2.124	3.711	1.44E+08	3.69E+11	3.60E+30
1491	J1625-4904	0.460339492	1.68E-14	5.251	0.013	-2.245	3.753	4.35E+05	2.81E+12	6.80E+33
1492	J1701-3130	0.291341471	5.60E-17	5.251	0.584	-0.679	3.326	8.25E+07	1.29E+11	8.90E+31
1493	J1658-4306	1.166449004	4.28E-14	5.254	-0.02	-1.542	3.477	4.32E+05	7.15E+12	1.10E+33
1494	B1802+03	0.218711565	9.99E-16	5.255	1.066	2.605	4.062	3.47E+06	4.73E+11	3.80E+33
1495	J1844-0302	1.198630275	7.81E-15	5.261	0.022	2.582	3.916	2.43E+06	3.10E+12	1.80E+32
1496	J1848-1414	0.297769547	1.41E-17	5.261	-0.535	1.782	3.579	3.35E+08	6.55E+10	2.10E+31
1497	B1911+13	0.521472714	8.04E-16	5.263	0.146	3.902	4.972	1.03E+07	6.55E+11	2.20E+32
1498	J1823-0154	0.759777464	1.13E-15	5.271	0.483	2.471	3.869	1.06E+07	9.38E+11	1.00E+32
1499	J1432-5032	2.034989479	5.92E-15	5.28	0.84	-3.424	4.57	5.44E+06	3.51E+12	2.80E+31
1500	B1920+20	1.172763402	6.49E-16	5.28	0.247	4.289	5.431	2.86E+07	8.83E+11	1.60E+31
1501	J1412-6111	0.529156398	1.91E-15	5.284	0.013	-3.89	4.924	4.38E+06	1.02E+12	5.10E+32
1502	J1926-0652	1.608816303	3.91E-16	5.286	-1.003	2.654	4.04	6.51E+07	8.03E+11	3.70E+30
1503	J1625-4913	0.355856263	6.65E-15	5.296	0.004	-2.273	3.717	8.48E+05	1.56E+12	5.80E+33
1504	J1434-6006	0.306367863	3.02E-15	5.297	0.024	-3.72	4.729	1.61E+06	9.73E+11	4.10E+33
1505	J1630-2609	1.912419751	1.57E-15	5.297	1.376	-0.683	3.431	1.93E+07	1.75E+12	8.90E+30
1506	B1552-31	0.51810978	6.22E-17	5.299	1.528	-1.509	3.656	1.32E+08	1.82E+11	1.80E+31
1507	J1901+0300	0.007796776	4.57E-20	5.304	-0.09	3.178	4.254	2.70E+09	6.04E+08	3.80E+33
1508	J1955+6708	0.008565406	1.26E-20	5.304	1.721	4.945	9.344	1.08E+10	3.32E+08	7.90E+32
1509	J1904-0150	0.379387162	8.90E-16	5.305	-0.355	2.869	4.052	6.76E+06	5.88E+11	6.40E+32
1510	J1403-7646	1.306197812	1.20E-15	5.307	-1.328	-4.098	5.401	1.72E+07	1.27E+12	2.10E+31
1511	J1650-4921	0.156399739	1.82E-15	5.307	-0.288	-2.049	3.613	1.36E+06	5.40E+11	1.90E+34
1512	J1632-4818	0.813671986	6.49E-13	5.308	-0.019	-2.152	3.648	1.99E+04	2.33E+13	4.80E+34
1513	J1710-2616	0.954158007	2.00E-17	5.308	0.741	-0.196	3.248	7.56E+08	1.40E+11	9.10E+29
1514	B1750-24	0.528336409	1.41E-14	5.309	0.047	0.396	3.206	5.93E+05	2.76E+12	3.80E+33
1515	J1622-4802	0.265072236	3.07E-16	5.321	0.109	-2.237	3.673	1.37E+07	2.89E+11	6.50E+32
1516	J1718-3714	1.289378778	2.62E-14	5.326	0.022	-0.931	3.256	7.79E+05	5.88E+12	4.80E+32
1517	J1546-5302	0.580839886	1.18E-14	5.334	0.121	-2.868	4.004	7.80E+05	2.65E+12	2.40E+33
1518	J1853-0004	0.101437103	5.57E-15	5.339	-0.044	2.914	4.027	2.88E+05	7.61E+11	2.10E+35
1519	J1805-0619	0.454650713	9.69E-16	5.342	0.672	1.984	3.586	7.43E+06	6.72E+11	4.10E+32
1520	J1901+0413	2.663079683	1.32E-13	5.342	-0.022	3.275	4.279	3.21E+05	1.89E+13	2.80E+32
1521	J1650-4341	0.309398366	1.67E-17	5.343	0.045	-1.684	3.43	2.94E+08	7.27E+10	2.20E+31
1522	B1834-10	0.562710736	1.18E-14	5.343	-0.132	2.024	3.557	7.56E+05	2.61E+12	2.60E+33
1523	J1759-2307	0.558888678	3.76E-15	5.345	0.026	0.614	3.19	2.35E+06	1.47E+12	8.50E+32
1524	J1610-5303	0.786468024	2.62E-15	5.353	-0.099	-2.659	3.855	4.77E+06	1.45E+12	2.10E+32
1525	J1922+1733	0.236170877	1.34E-14	5.36	0.115	4.227	5.207	2.80E+05	1.80E+12	4.00E+34
1526	J1818-1519	0.93969004	4.11E-15	5.362	0.018	1.437	3.334	3.63E+06	1.99E+12	2.00E+32
1527	J1542-5303	1.207567765	7.78E-14	5.37	0.148	-2.918	3.994	2.46E+05	9.81E+12	1.70E+33
1528	B1820-11	0.279828697	1.38E-15	5.371	0.089	1.816	3.446	3.22E+06	6.29E+11	2.50E+33
1529	J1716-3720	0.630313713	1.80E-14	5.375	0.049	-0.971	3.214	5.56E+05	3.41E+12	2.80E+33
1530	B1523-55	1.048718554	1.13E-14	5.381	0.055	-3.19	4.167	1.47E+06	3.48E+12	3.90E+32
1531	B1841-05	0.255704186	9.71E-15	5.404	-0.089	2.459	3.689	4.17E+05	1.59E+12	2.30E+34
1532	J1908+2351	0.377578026	1.70E-17	5.405	0.669	4.454	5.512	3.52E+08	8.11E+10	1.20E+31
1533	J1805-1504	1.18126923	2.70E-16	5.409	0.292	1.329	3.265	6.84E+07	5.75E+11	6.60E+30
1534	J1622-4944	1.072967894	1.71E-14	5.412	-0.001	-2.38	3.639	9.95E+05	4.33E+12	5.50E+32
1535	J1919+1645	0.562789987	2.16E-16	5.414	0.155	4.203	5.091	4.13E+07	3.53E+11	4.80E+31
1536	J1727-2951	0.028404953	3.10E-19	5.415	0.276	-0.28	3.099	1.45E+09	3.00E+09	5.30E+32
1537	J1716-4005	0.311812765	2.87E-15	5.418	-0.109	-1.18	3.213	1.72E+06	9.57E+11	3.70E+33
1538	J1414-6802	4.630188062	6.39E-15	5.42	-0.606	-4.09	4.996	1.15E+07	5.50E+12	2.50E+30
1539	J1232-6501	0.088281908	8.10E-19	5.423	-0.21	-4.649	5.716	1.73E+09	8.56E+09	4.70E+31
1540	J1752-2821	0.6402295	3.47E-15	5.436	-0.093	0.12	3.066	2.93E+06	1.51E+12	5.20E+32
1541	B1650-38	0.305037319	2.79E-15	5.44	0.31	-1.325	3.233	1.73E+06	9.33E+11	3.90E+33
1542	B1925+18	0.482766274	1.16E-16	5.443	0.091	4.387	5.28	6.59E+07	2.39E+11	4.10E+31
1543	J1630-4719	0.559071333	1.42E-14	5.444	0.075	-2.171	3.508	6.25E+05	2.85E+12	3.20E+33
1544	J1913+1050	0.190067108	1.95E-16	5.446	0.008	3.857	4.655	1.54E+07	1.95E+11	1.10E+33
1545	J1528-4109	0.526556139	3.96E-16	5.453	1.196	-2.489	3.798	2.11E+07	4.62E+11	1.10E+32
1546	J1851-0029	0.518721435	4.74E-15	5.453	-0.032	2.933	3.903	1.73E+06	1.59E+12	1.30E+33
1547	B1815-14	0.291489461	2.04E-15	5.455	0.058	1.541	3.267	2.27E+06	7.80E+11	3.20E+33
1548	J1810+0705	0.307682834	2.42E-16	5.456	1.157	3.035	4.116	2.01E+07	2.76E+11	3.30E+32
1549	J1941+1341	0.559084099	1.24E-15	5.459	-0.425	4.217	5.06	7.15E+06	8.42E+11	2.80E+32
1550	J1634-5640	0.224201191	4.10E-17	5.461	-0.577	-2.708	3.793	8.66E+07	9.70E+10	1.40E+32
1551	J1336-2522	0.478145483	3.31E-16	5.467	3.244	-3.081	5.358	2.29E+07	4.02E+11	1.20E+32
1552	J1845-0545	1.092348153	1.34E-14	5.471	-0.128	2.496	3.633	1.29E+06	3.88E+12	4.10E+32
1553	B1112-60	0.88085825	4.60E-14	5.479	-0.031	-5.1	6.497	3.03E+05	6.44E+12	2.70E+33
1554	J1349-6130	0.259364764	5.12E-15	5.486	0.056	-4.214	4.988	8.03E+05	1.17E+12	1.20E+34
1555	J1858+0346	0.256843798	2.04E-15	5.49	0.017	3.31	4.12	1.99E+06	7.33E+11	4.80E+33
1556	J1745-0129	1.045406856	6.31E-16	5.496	1.332	2.155	3.623	2.62E+07	8.22E+11	2.20E+31
1557	B1901+10	1.856569717	2.76E-16	5.496	0.179	3.777	4.511	1.07E+08	7.24E+11	1.70E+30
1558	B1821-24A	0.003054316	1.62E-18	5.5	-0.535	0.743	3.077	2.99E+07	2.25E+09	2.20E+36
1559	J0834-4159	0.121117759	4.28E-15	5.508	-0.1	-5.438	9.372	4.48E+05	7.29E+11	9.50E+34
1560	J1835-0349	0.841864519	3.06E-15	5.51	0.179	2.558	3.623	4.36E+06	1.62E+12	2.00E+32
1561	J1618-3921	0.011987309	5.41E-20	5.516	0.757	-1.804	3.342	3.51E+09	8.15E+08	1.20E+33
1562	J1648-4458	0.629631536	1.85E-15	5.518	0.001	-1.856	3.303	5.38E+06	1.09E+12	2.90E+32
1563	J1917+1737	0.334725227	3.24E-16	5.53	0.233	4.326	5.063	1.64E+07	3.33E+11	3.40E+32
1564	J1612-5805	0.615520458	9.35E-16	5.542	-0.478	-3.007	3.869	1.04E+07	7.68E+11	1.60E+32
1565	J1731-3322	0.544670547	2.81E-14	5.552	0.022	-0.522	2.973	3.07E+05	3.96E+12	6.90E+33
1566	B1906+09	0.830269885	9.80E-17	5.561	0.035	3.805	4.444	1.34E+08	2.89E+11	6.80E+30
1567	J1345-6115	1.25308459	3.25E-15	5.565	0.09	-4.299	4.967	6.11E+06	2.04E+12	6.50E+31
1568	J1406-5806	0.288349244	6.11E-16	5.567	0.325	-4.086	4.733	7.48E+06	4.25E+11	1.00E+33
1569	J1648-6044	0.583764997	4.29E-16	5.567	-0.98	-2.886	3.842	2.16E+07	5.06E+11	8.50E+31
1570	J1622-4950	4.327020261	2.78E-12	5.571	-0.01	-2.455	3.499	2.47E+04	1.11E+14	1.40E+33
1571	J1629-3825	0.526364586	4.44E-16	5.574	0.68	-1.628	3.213	1.88E+07	4.89E+11	1.20E+32
1572	J1705-6135	0.808546089	6.00E-17	5.577	-1.181	-2.827	3.84	2.14E+08	2.23E+11	4.50E+30
1573	J1852+0013	0.957750945	1.40E-14	5.581	-0.017	3.063	3.834	1.08E+06	3.71E+12	6.30E+32
1574	J1720+2150	1.61566378	7.40E-16	5.583	2.738	3.377	4.998	3.46E+07	1.11E+12	6.90E+30
1575	J0952-0607	0.001413798	4.77E-21	5.6	3.242	-4.092	10.526	4.69E+09	8.31E+07	6.70E+34
1576	J1921-0510	0.79425388	6.03E-16	5.604	-0.88	2.91	3.792	2.09E+07	7.00E+11	4.70E+31
1577	J1625-4048	2.355278193	4.43E-16	5.612	0.58	-1.853	3.235	8.42E+07	1.03E+12	1.30E+30
1578	J1746-2850	1.077101491	1.34E-12	5.612	-0.004	0.013	2.888	1.27E+04	3.85E+13	4.20E+34
1579	J1721-1939	0.404039751	1.28E-16	5.621	0.934	0.475	2.977	4.99E+07	2.30E+11	7.70E+31
1580	J2045+3633	0.031681843	5.88E-19	5.629	-0.385	5.49	7.316	8.53E+08	4.37E+09	7.30E+32
1581	J1420-6048	0.068179877	8.32E-14	5.632	0.022	-4.082	4.62	1.30E+04	2.41E+12	1.00E+37
1582	J1624-4721	0.448723249	4.15E-15	5.634	0.137	-2.302	3.36	1.71E+06	1.38E+12	1.80E+33
1583	J1614-3846	0.464106314	9.20E-16	5.637	0.861	-1.848	3.245	7.99E+06	6.61E+11	3.60E+32
1584	J0855-4644	0.064686131	7.26E-15	5.638	-0.099	-5.629	8.798	1.41E+05	6.94E+11	1.10E+36
1585	J1550-5242	0.74965895	1.78E-14	5.644	0.118	-2.978	3.707	6.68E+05	3.69E+12	1.70E+33
1586	J1848-1150	1.312218438	1.43E-15	5.647	-0.459	2.109	3.282	1.45E+07	1.39E+12	2.50E+31
1587	J1851+0118	0.906976861	1.37E-13	5.648	0.05	3.171	3.826	1.05E+05	1.13E+13	7.20E+33
1588	B1924+14	1.324921971	2.19E-16	5.649	-0.102	4.322	4.864	9.56E+07	5.46E+11	3.70E+30
1589	J1600-5916	1.247666174	8.90E-16	5.657	-0.473	-3.229	3.879	2.23E+07	1.06E+12	1.80E+31
1590	J1610-5006	0.481118852	1.36E-14	5.665	0.104	-2.635	3.486	5.59E+05	2.59E+12	4.80E+33
1591	J1403-6310	0.399170177	9.00E-17	5.667	-0.141	-4.28	4.789	7.03E+07	1.92E+11	5.60E+31
1592	J1844-0452	0.269443321	6.80E-16	5.684	-0.057	2.647	3.47	6.28E+06	4.33E+11	1.40E+33
1593	J1547-5839	0.242190324	5.94E-16	5.685	-0.322	-3.323	3.898	6.46E+06	3.84E+11	1.70E+33
1594	J1742-4616	0.412401047	3.38E-17	5.689	-0.837	-1.476	3.07	1.93E+08	1.19E+11	1.90E+31
1595	J1548-5607	0.170937956	1.07E-14	5.702	-0.135	-3.199	3.782	2.52E+05	1.37E+12	8.50E+34
1596	J1852-0127	0.428978926	5.15E-15	5.713	-0.08	3.002	3.64	1.32E+06	1.50E+12	2.60E+33
1597	J1840-0626	1.8933527	2.30E-14	5.727	-0.046	2.504	3.35	1.30E+06	6.68E+12	1.30E+32
1598	J1842-0612	0.56447538	2.20E-17	5.727	-0.09	2.547	3.371	4.07E+08	1.13E+11	4.80E+30
1599	J1234-3630	0.569242225	8.66E-16	5.728	2.532	-4.491	6.003	1.04E+07	7.10E+11	1.90E+32
1600	B1758-03	0.921492866	3.31E-15	5.739	0.923	2.267	3.309	4.42E+06	1.77E+12	1.70E+32
1601	J1840-0809	0.955673269	2.35E-15	5.742	-0.131	2.375	3.274	6.44E+06	1.52E+12	1.10E+32
1602	J1903+2225	0.651185384	4.45E-16	5.756	0.744	4.639	5.174	2.32E+07	5.45E+11	6.40E+31
1603	B2027+37	1.216804658	1.23E-14	5.771	-0.073	5.62	7.192	1.56E+06	3.92E+12	2.70E+32
1604	J1759-2302	0.810717729	1.07E-14	5.782	0.026	0.675	2.758	1.20E+06	2.99E+12	8.00E+32
1605	J1046+0304	0.326271446	1.24E-16	5.788	4.542	-3.288	9.936	4.16E+07	2.04E+11	1.40E+32
1606	J1843-0355	0.132313972	1.04E-15	5.798	0.006	2.765	3.404	2.02E+06	3.75E+11	1.80E+34
1607	J1819-1114	0.294162515	5.66E-16	5.799	0.188	1.915	3.029	8.23E+06	4.13E+11	8.80E+32
1608	J1846-0258	0.326571288	7.11E-12	5.8	-0.024	2.875	3.463	728	4.88E+13	8.10E+36
1609	J1847-0130	6.707045724	1.27E-12	5.801	0.017	3	3.535	8.33E+04	9.36E+13	1.70E+32
1610	J0821-4221	0.396728235	3.48E-15	5.802	-0.318	-5.702	9.523	1.81E+06	1.19E+12	2.20E+33
1611	J1543-5013	0.644255065	1.01E-14	5.809	0.377	-2.992	3.535	1.01E+06	2.59E+12	1.50E+33
1612	B1647-528	0.89053651	2.12E-15	5.809	-0.558	-2.481	3.277	6.67E+06	1.39E+12	1.20E+32
1613	J1907+0740	0.574697952	6.71E-16	5.81	-0.01	3.858	4.156	1.36E+07	6.29E+11	1.40E+32
1614	J1853+0011	0.397889459	3.35E-14	5.815	-0.038	3.196	3.642	1.88E+05	3.70E+12	2.10E+34
1615	J1535-4415	0.468401604	4.05E-17	5.818	0.943	-2.744	3.457	1.83E+08	1.39E+11	1.60E+31
1616	J1444-6026	4.758575568	1.85E-14	5.823	-0.055	-4.015	4.283	4.07E+06	9.51E+12	6.80E+30
1617	J0812-3905	0.482595929	4.49E-17	5.829	-0.286	-5.652	9.897	1.70E+08	1.49E+11	1.60E+31
1618	J1614-5402	0.572592272	2.90E-17	5.829	-0.229	-2.909	3.454	3.13E+08	1.30E+11	6.10E+30
1619	J2050+1259	1.221019982	5.00E-16	5.829	-1.921	4.739	5.702	3.84E+07	7.94E+11	1.10E+31
1620	J1901+0511	4.60036899	2.53E-14	5.831	0.009	3.647	3.95	2.88E+06	1.09E+13	1.00E+31
1621	J1908+0500	0.291020787	2.59E-15	5.845	-0.143	3.7	3.978	1.78E+06	8.78E+11	4.10E+33
1622	J1840+0214	0.797478075	8.29E-15	5.846	0.351	3.237	3.645	1.52E+06	2.60E+12	6.50E+32
1623	J1913+0618	0.005026861	9.61E-21	5.863	-0.2	3.847	4.08	8.29E+09	2.22E+08	3.00E+33
1624	J1750-3503	0.684013603	3.81E-17	5.864	-0.417	-0.478	2.67	2.84E+08	1.63E+11	4.70E+30
1625	J1823-1347	0.617107206	9.60E-15	5.873	-0.019	1.765	2.898	1.02E+06	2.46E+12	1.60E+33
1626	J1551-5310	0.453447753	1.95E-13	5.878	0.069	-3.112	3.514	3.69E+04	9.51E+12	8.20E+34
1627	B1915+13	0.194630983	7.20E-15	5.882	0.064	4.389	4.584	4.28E+05	1.20E+12	3.90E+34
1628	B1917+00	1.272260375	7.67E-15	5.882	-0.63	3.479	3.799	2.63E+06	3.16E+12	1.50E+32
1629	J0831-4406	0.311673518	1.28E-15	5.883	-0.276	-5.823	9.289	3.86E+06	6.39E+11	1.70E+33
1630	J1901+0320	0.636584478	5.20E-16	5.886	-0.063	3.542	3.799	1.93E+07	5.84E+11	8.00E+31
